INFO  - 2018-03-26 17:40:33.564; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2018-03-26 17:40:33.565; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2018-03-26 17:40:33.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2018-03-26 17:40:33.567; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.567; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2018-03-26 17:40:33.568; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2018-03-26 17:40:33.569; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2018-03-26 17:40:33.628; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2018-03-26 17:40:33.633; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2018-03-26 17:40:33.712; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2018-03-26 17:40:33.719; org.apache.solr.schema.IndexSchema; Reading Solr Schema from C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\conf\schema.xml
INFO  - 2018-03-26 17:40:33.749; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2018-03-26 17:40:34.264; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2018-03-26 17:40:34.277; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2018-03-26 17:40:34.278; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2018-03-26 17:40:34.396; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2018-03-26 17:40:34.402; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2018-03-26 17:40:34.483; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\
INFO  - 2018-03-26 17:40:34.507; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2018-03-26 17:40:34.517; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\, dataDir=C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\data\
INFO  - 2018-03-26 17:40:34.521; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2018-03-26 17:40:34.534; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2018-03-26 17:40:34.535; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2018-03-26 17:40:34.552; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\data
INFO  - 2018-03-26 17:40:34.554; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\data\index/
WARN  - 2018-03-26 17:40:34.556; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2018-03-26 17:40:34.569; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\data\index
INFO  - 2018-03-26 17:40:34.677; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(SimpleFSDirectory@C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2018-03-26 17:40:34.677; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2018-03-26 17:40:34.684; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2018-03-26 17:40:34.685; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2018-03-26 17:40:34.686; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2018-03-26 17:40:34.689; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2018-03-26 17:40:34.690; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2018-03-26 17:40:34.774; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2018-03-26 17:40:34.781; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-26 17:40:34.781; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-26 17:40:34.782; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-26 17:40:34.782; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-26 17:40:34.787; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.788; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.790; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2018-03-26 17:40:34.790; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.791; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2018-03-26 17:40:34.793; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-03-26 17:40:34.793; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2018-03-26 17:40:34.794; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2018-03-26 17:40:34.795; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2018-03-26 17:40:34.796; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2018-03-26 17:40:34.797; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2018-03-26 17:40:34.797; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2018-03-26 17:40:34.798; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2018-03-26 17:40:34.800; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2018-03-26 17:40:34.802; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2018-03-26 17:40:34.804; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2018-03-26 17:40:34.816; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2018-03-26 17:40:34.816; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.816; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.817; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.817; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.817; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.818; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.818; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.818; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2018-03-26 17:40:34.850; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-26 17:40:34.855; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-26 17:40:34.856; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-26 17:40:34.857; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-26 17:40:34.858; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-26 17:40:34.875; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2018-03-26 17:40:34.876; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2018-03-26 17:40:34.883; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(SimpleFSDirectory@C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2018-03-26 17:40:34.884; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2018-03-26 17:40:34.891; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@12c67ed[collection1] main
INFO  - 2018-03-26 17:40:34.898; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: C:\Users\Louis\AppData\Local\Programs\Python\Python36-32\Scripts\myblog\solr-4.10.4\example\solr\collection1\conf
